Task ID    Gift ID      Gift Type   Task Type  Request Time     Task Arrival    TT     Responsible
169             50             2           D           57                80           3          S
121             51             4           P           58                58           25          A
171             59             3           C           68                82           1          B
174             51             4           C           58                83           1          A
175             59             3           D           68                83           2          S
176             74             1           C           84                84           1          A
150             63             3           A           72                72           13          B
173             73             5           Q           83                83           3          S
178             63             3           C           72                85           1          B
177             74             1           D           84                85           2          S
180             63             3           D           72                86           2          S
130             55             2           P           63                63           25          A
167             71             3           A           80                80           8          B
181             76             1           C           87                87           2          A
182             77             1           C           88                88           1          B
183             55             2           C           63                88           2          A
184             71             3           C           80                88           2          B
187             76             1           D           87                89           2          S
189             79             1           C           90                90           1          A
188             77             1           D           88                89           3          S
170             72             3           A           81                81           11          B
190             55             2           D           63                90           3          S
197             72             3           C           81                93           1          B
191             71             3           D           80                90           4          S
136             57             2           P           66                66           28          A
198             82             1           C           93                93           2          B
194             79             1           D           90                91           4          S
202             57             2           C           66                94           1          A
199             72             3           D           81                94           2          S
172             73             5           A           83                83           14          B
203             82             1           D           93                95           2          S
209             73             5           C           83                97           1          B
206             57             2           D           66                95           3          S
142             60             2           P           69                69           29          A
186             78             5           Q           89                89           10          S
211             60             2           C           69                98           1          A
179             75             3           A           86                86           14          B
193             80             5           Q           91                91           9          S
215             75             3           C           86                100           1          B
214             60             2           D           69                99           2          S
217             75             3           D           86                101           1          S
147             62             2           P           71                71           31          A
185             78             5           A           89                89           14          B
196             81             5           Q           92                92           11          S
221             62             2           C           71                102           1          A
222             78             5           C           89                103           1          B
201             83             4           Q           94                94           10          S
223             91             1           C           103                103           1          
224             62             2           D           71                103           2          S
225             92             1           C           104                104           1          
192             80             5           A           91                91           15          B
226             91             1           D           103                104           2          
227             93             1           C           105                105           1          
229             80             5           C           91                106           1          B
228             92             1           D           104                105           2          
231             93             1           D           105                106           2          
195             81             5           A           92                92           17          B
205             84             4           Q           95                95           14          S
151             64             2           P           73                73           36          A
233             81             5           C           92                109           1          B
208             85             4           Q           96                96           14          S
234             96             1           C           109                109           1          
235             64             2           C           73                109           2          B
213             87             5           Q           99                99           12          S
237             96             1           D           109                110           2          
210             86             3           A           97                97           16          B
239             64             2           D           73                111           2          S
158             67             2           P           76                76           37          A
242             100             1           C           113                113           1         
220             90             4           Q           102                102           12         
243             86             3           C           97                113           1          A
244             67             2           C           76                113           2          B
246             100             1           D           113                114           1         
247             86             3           D           97                114           2          S
212             87             5           A           99                99           18          B
249             67             2           D           76                115           2          S
162             69             2           P           78                78           39          A
252             87             5           C           99                117           1          B
241             99             4           Q           112                112           6          
250             103             1           C           116                116           2         
253             69             2           C           78                117           2          B
254             103             1           D           116                118           2         
218             89             3           A           101                101           20         
200             83             4           P           94                94           27          A
