Task ID    Gift ID      Gift Type   Task Type  Request Time     Task Arrival    TT     Responsible
171             50             2           C           56                81           1          A
169             70             1           D           79                80           2          S
150             63             3           A           72                72           10          B
173             63             3           C           72                82           1          B
172             50             2           D           56                82           1          S
176             63             3           D           72                83           1          S
121             51             4           P           57                57           28          A
168             71             3           A           80                80           5          B
175             73             5           Q           83                83           2          S
178             51             4           C           57                85           1          A
177             74             1           C           84                84           2          B
179             71             3           C           80                85           2          A
181             74             1           D           84                86           1          S
182             76             1           C           87                87           1          A
170             72             3           A           81                81           7          B
183             71             3           D           80                87           1          S
184             77             1           C           88                88           1          A
186             72             3           C           81                88           1          B
185             76             1           D           87                88           1          S
189             77             1           D           88                89           1          S
174             73             5           A           83                83           8          B
190             72             3           D           81                89           2          S
131             55             2           P           62                62           30          A
194             73             5           C           83                91           1          B
188             78             5           Q           89                89           3          S
191             79             1           C           90                90           3          A
197             55             2           C           62                92           1          B
193             80             5           Q           91                91           2          S
198             82             1           C           93                93           1          A
199             79             1           D           90                93           1          S
180             75             3           A           86                86           9          B
200             55             2           D           62                93           2          S
206             75             3           C           86                95           1          B
203             82             1           D           93                94           2          S
137             57             2           P           65                65           32          A
209             75             3           D           86                96           2          S
211             57             2           C           65                97           1          A
187             78             5           A           89                89           9          B
196             81             5           Q           92                92           7          S
213             78             5           C           89                98           1          B
212             57             2           D           65                98           2          S
202             83             4           Q           94                94           7          S
143             60             2           P           68                68           33          A
192             80             5           A           91                91           11          B
205             84             4           Q           95                95           7          S
218             60             2           C           68                101           1          A
219             80             5           C           91                102           1          B
208             85             4           Q           96                96           7          S
222             60             2           D           68                102           2          S
195             81             5           A           92                92           13          B
215             87             5           Q           99                99           6          S
147             62             2           P           70                70           35          A
225             81             5           C           92                105           1          B
221             90             4           Q           102                102           4          
223             91             1           C           103                103           3          
224             92             1           C           104                104           3          
226             93             1           C           105                105           2          
227             62             2           C           70                105           3          B
229             91             1           D           103                106           2          
230             92             1           D           104                107           2          
210             86             3           A           97                97           13          B
231             93             1           D           105                108           2          
152             64             2           P           73                73           38          A
234             96             1           C           109                109           2          
232             62             2           D           70                108           3          S
235             86             3           C           97                110           2          A
237             64             2           C           73                111           1          B
239             96             1           D           109                111           1          
240             86             3           D           97                112           1          S
214             87             5           A           99                99           15          B
243             64             2           D           73                112           2          S
158             67             2           P           76                76           39          A
246             87             5           C           99                114           1          B
242             99             4           Q           112                112           3          
244             100             1           C           113                113           3         
247             67             2           C           76                115           1          B
250             103             1           C           116                116           1         
249             100             1           D           113                116           1         
251             67             2           D           76                116           2          S
163             69             2           P           78                78           41          A
217             89             3           A           101                101           18         
253             103             1           D           116                117           2         
254             69             2           C           78                119           1          A
256             89             3           C           101                119           1          
